timestamp,soc,screen_on,brightness_raw,cpu_load_raw,t_env,x_net
0.0,100.0,1.0,255.0,100.0,298.15,2.9834193686221795
0.1000009259344994,99.99949999537033,1.0,255.0,100.0,298.15,4.014269779230225
0.2000018518689988,99.99899999074066,1.0,255.0,100.0,298.15,2.9654834754095445
0.3000027778034982,99.99849998611099,1.0,255.0,100.0,298.15,1.6765764540072654
0.4000037037379976,99.99799998148131,1.0,255.0,100.0,298.15,2.0768702756377055
0.500004629672497,99.99749997685164,1.0,255.0,100.0,298.15,6.599402229426116
0.6000055556069964,99.99699997222197,1.0,255.0,100.0,298.15,2.9576065195472085
0.7000064815414958,99.99649996759229,1.0,255.0,100.0,298.15,1.5506999173319884
0.8000074074759952,99.99599996296261,1.0,255.0,100.0,298.15,4.35995086378114
0.9000083334104946,99.99549995833294,1.0,255.0,100.0,298.15,1.8733801338083604
1.000009259344994,99.99499995370327,1.0,255.0,100.0,298.15,10.0
1.1000101852794935,99.9944999490736,1.0,255.0,100.0,298.15,1.4140071630199038
1.2000111112139928,99.99399994444393,1.0,255.0,100.0,298.15,1.1272771700193716
1.3000120371484922,99.99349993981426,1.0,255.0,100.0,298.15,2.164398882284746
1.4000129630829916,99.99299993518459,1.0,255.0,100.0,298.15,3.171207921554885
1.500013889017491,99.99249993055491,1.0,255.0,100.0,298.15,1.538490222994952
1.6000148149519904,99.99199992592524,1.0,255.0,100.0,298.15,1.293808939486478
1.7000157408864898,99.99149992129557,1.0,255.0,100.0,298.15,10.0
1.8000166668209892,99.9909999166659,1.0,255.0,100.0,298.15,1.8641569570951488
1.9000175927554885,99.99049991203623,1.0,255.0,100.0,298.15,2.129669287148122
2.000018518689988,99.98999990740656,1.0,255.0,100.0,298.15,6.103079970787071
2.1000194446244875,99.98949990277687,1.0,255.0,100.0,298.15,2.3708144069033863
2.200020370558987,99.9889998981472,1.0,255.0,100.0,298.15,1.8560175403494137
2.3000212964934863,99.98849989351753,1.0,255.0,100.0,298.15,2.6539434921958778
2.4000222224279857,99.98799988888786,1.0,255.0,100.0,298.15,3.4980540030687903
2.500023148362485,99.98749988425818,1.0,255.0,100.0,298.15,1.8869609943451988
2.6000240742969845,99.98699987962851,1.0,255.0,100.0,298.15,4.101557935008945
2.700025000231484,99.98649987499884,1.0,255.0,100.0,298.15,1.2689166973534087
2.8000259261659832,99.98599987036917,1.0,255.0,100.0,298.15,3.3811196730415407
2.9000268521004826,99.9854998657395,1.0,255.0,100.0,298.15,6.382378723687427
3.000027778034982,99.98499986110983,1.0,255.0,100.0,298.15,1.8161982989053935
3.1000287039694814,99.98449985648016,1.0,255.0,100.0,298.15,2.6954283619753654
3.2000296299039808,99.98399985185048,1.0,255.0,100.0,298.15,2.0840035878039656
3.30003055583848,99.98349984722081,1.0,255.0,100.0,298.15,0.24475483219444993
